*---------------------------------------------------------------------*
*                                                                     *
* Wageningen weather                                                  *
*                                                                     *
* Longitude (east), Latitude (north), Altitude (m) of weather station *
*                                                                     *
* column  Daily weather                                               *
* 1       Year                                                        *
* 2       Day                                                         *
* 3       Minimum temperature                      (degr. C.)         *
* 4       Maximum temperature                      (degr. C.)         *
* 5       Daily total global radiation             (MJ/m2/day)        *
* 6       Rainfall                                 (mm)               *
* 7       Vapour pressure at 9.00 h in the morning (mbar)             *
* 8       Windspeed  (daily average)               (m/s)              *
*---------------------------------------------------------------------*
 5, 52, 0
76 292   7.7  13.2  5.01   0.0 11.0  3.0
76 293   8.3  15.6  5.54   3.7 12.1  2.5
76 294   8.2  14.3  6.27   0.0 10.2  3.3
76 295   7.7  13.5  4.56   1.2 11.6  2.5
76 296   9.0  15.0  5.76   0.5 10.1  2.9
76 297   7.7  13.3  6.82   2.5 10.9  1.3
76 298   8.1  15.7  6.55   0.2 10.4  2.5
76 299   3.1  11.8  6.33   0.0  9.2  1.4
76 300   4.8   6.5  1.66   0.0  8.6  1.2
76 301   3.9   6.7  0.93   0.0  8.1  1.9
76 302   1.0  12.6  3.31   0.0  9.0  1.4
76 303   0.6   7.4  2.36   0.0  8.2  2.2
76 304   1.4  10.5  7.36   0.0  6.9  0.9
76 305   3.7   9.6  3.20   0.0  8.9  3.5
76 306   5.6  10.2  3.42   0.7  9.5  3.3
76 307   4.1   6.4  1.52   1.4  8.3  1.7
76 308   2.8  11.0  5.99  17.2  7.5  1.6
76 309   3.9   8.9  2.86   0.0  8.1  3.8
76 310   5.1  10.9  4.00   0.0  8.3  3.2
76 311   5.7  11.0  2.80   4.5  9.5  2.2
76 312   4.2  10.4  4.61   0.3  8.6  3.2
76 313   6.1  10.0  3.85   1.1  8.8  2.9
76 314   7.2  12.5  2.24   0.6 10.2  2.6
76 315   2.2   8.6  1.18   3.7  9.1  0.8
76 316   1.2   8.0  4.72   0.8  7.3  2.4
76 317   4.5   6.5  2.27   1.4  8.4  1.7
76 318   6.0   8.8  2.32   0.1  8.7  1.5
76 319   5.3   7.5  2.07   0.0  8.3  1.5
76 320   5.5   7.7  2.35   0.0  8.4  1.6
76 321   6.0   7.4  0.85   0.8  9.4  1.7
76 322   4.8   8.6  1.28   0.0  9.5  0.8
76 323  -0.5   9.4  2.07   0.0  8.0  1.1
76 324  -1.8   8.0  4.21   0.0  6.6  0.5
76 325  -2.1   5.4  4.30   0.0  6.6  0.8
76 326   1.4   6.6  2.41   0.6  7.3  2.1
76 327   0.6   5.8  3.95   0.8  6.3  2.6
76 328   2.5   9.6  0.77   0.8  8.8  4.4
76 329   3.6  10.0  1.65   5.3  9.3  2.7
76 330   6.9   8.0  1.26   0.0  7.8  4.2
76 331   5.2  10.0  2.46   0.6  8.8  3.7
76 332   5.4   9.8  1.22   0.0  9.0  5.4
76 333   6.0   9.3  2.28   3.6  8.2  5.6
76 334   4.7  11.2  0.74   5.2  9.2  4.8
76 335   1.7   7.0  3.54  13.1  6.6  4.6
76 336   1.4   5.0  2.35   0.0  6.5  2.0
76 337   0.7   3.4  2.61   2.8  6.2  3.5
76 338  -0.1   4.5  4.29   2.8  6.0  3.7
76 339  -1.6   1.5  2.26   0.0  5.6  2.5
76 340  -1.4   6.5  0.83   0.2  6.6  4.8
76 341   4.6   8.0  4.18   5.5  7.4  4.9
76 342   5.6   8.0  2.30   0.2  8.1  5.0
76 343   1.1   7.3  3.64   1.3  6.9  2.6
76 344  -1.0   5.0  3.82   0.0  5.5  2.3
76 345   0.7   5.6  2.00   2.2  6.3  4.6
76 346  -4.3   4.7  1.70   1.8  6.3  2.5
76 347  -4.7   1.7  2.36   1.7  5.7  1.0
76 348  -5.6   2.0  3.41   0.5  5.2  1.2
76 349  -4.2   0.4  1.40   0.0  4.8  0.9
76 350  -2.9   1.5  1.60   0.0  5.1  1.2
76 351  -2.2   1.6  1.23   0.0  5.2  3.5
76 352   0.4   3.3  0.61   3.5  6.6  1.5
76 353  -0.1   1.8  0.62   0.7  5.8  4.0
76 354   1.8   4.1  1.73   4.0  6.8  3.6
76 355   2.4   6.5  0.63   3.3  7.9  3.5
76 356   0.3   5.3  1.45   1.2  6.6  1.7
76 357  -4.9   4.0  3.02   0.0  5.7  1.6
76 358  -1.1   1.9  3.12   0.0  5.6  1.1
76 359  -6.0   1.7  3.85   0.0  3.6  2.1
76 360  -0.8   3.0  3.79   0.8  4.6  2.3
76 361  -0.5   2.5  0.71   0.2  5.7  4.4
76 362  -5.1   1.3  3.64   3.8  4.8  1.7
76 363  -8.5  -4.0  3.37   0.0  3.6  2.2
76 364  -9.7  -4.0  2.61   0.0  2.9  4.3
76 365  -5.6   2.1  2.36   0.0  5.0  4.3
